donorName,integrated,genderOnly,climateOnly,neither,integratedFunding,genderOnlyFunding,climateOnlyFunding,neitherFunding,totalProjects,totalFunding,integratedShare,projectCount,archetype
People's Postcode Lottery,14,34,13,0,87.68,53.98,14.54,0,61,156.2,0.2295,61,Siloed Approach
Charity Projects Ltd (Comic Relief),8,557,3,0,0.78,154.93,0.2,0,568,155.91,0.0141,568,Gender-First Integrator
Romania,8,441,22,0,0.23,150.21,0.7,0,471,151.14,0.017,471,Gender-First Integrator
UNFPA,2,16,0,0,23.93,117.43,0.0,0,18,141.36,0.1111,18,Gender-First Integrator
Greece,16,675,11,0,0.75,119.44,0.92,0,702,121.11,0.0228,702,Gender-First Integrator
OPEC Fund for International Development,0,4,8,0,0.0,36.93,81.53,0,12,118.46,0.0,12,Siloed Approach
Joint Sustainable Development Goals Fund,0,221,0,0,0.0,111.96,0.0,0,221,111.96,0.0,221,Gender-First Integrator
Conrad N. Hilton Foundation,2,169,1,0,0.07,106.08,0.87,0,172,107.02,0.0116,172,Gender-First Integrator
Poland,97,462,307,0,10.12,37.97,24.08,0,866,72.17,0.112,866,Siloed Approach
Slovak Republic,51,445,118,0,3.91,59.0,6.94,0,614,69.85,0.0831,614,Gender-First Integrator
Laudes Foundation,11,61,77,0,7.45,12.3,43.92,0,149,63.67,0.0738,149,Siloed Approach
Arcus Foundation,0,526,0,0,0.0,57.76,0.0,0,526,57.76,0.0,526,Gender-First Integrator
MAVA Foundation,0,0,71,0,0.0,0.0,56.96,0,71,56.96,0.0,71,Climate Specialist
UBS Optimus Foundation,0,58,45,0,0.0,28.19,26.76,0,103,54.95,0.0,103,Siloed Approach
Qatar,0,13,21,0,0.0,29.96,23.68,0,34,53.64,0.0,34,Siloed Approach
Slovenia,42,221,83,0,8.79,19.05,15.67,0,346,43.51,0.1214,346,Siloed Approach
Gordon and Betty Moore Foundation,0,0,31,0,0.0,0.0,41.38,0,31,41.38,0.0,31,Climate Specialist
UN Capital Development Fund,0,78,1,0,0.0,37.25,0.0,0,79,37.25,0.0,79,Gender-First Integrator
Fondation Botnar,1,8,0,0,0.41,35.07,0.0,0,9,35.48,0.1111,9,Gender-First Integrator
Lithuania,40,337,188,0,0.66,17.95,10.31,0,565,28.92,0.0708,565,Siloed Approach
Global Green Growth Institute,35,132,9,0,15.59,10.31,2.44,0,176,28.34,0.1989,176,Gender-First Integrator
World Tourism Organisation,0,61,1,0,0.0,25.79,0.66,0,62,26.45,0.0,62,Gender-First Integrator
World Diabetes Foundation,0,39,1,0,0.0,20.11,1.58,0,40,21.69,0.0,40,Gender-First Integrator
H&M Foundation,0,28,6,0,0.0,9.8,8.96,0,34,18.76,0.0,34,Gender-First Integrator
Monaco,23,96,40,0,3.32,9.57,5.83,0,159,18.72,0.1447,159,Siloed Approach
International Investment Bank,0,1,0,0,0.0,15.0,0.0,0,1,15.0,0.0,1,Gender-First Integrator
WFP,0,27,0,0,0.0,13.55,0.0,0,27,13.55,0.0,27,Gender-First Integrator
COVID-19 Response and Recovery Multi-Partner Trust Fund,0,77,0,0,0.0,13.45,0.0,0,77,13.45,0.0,77,Gender-First Integrator
World Health Organisation,0,0,1,0,0.0,0.0,12.63,0,1,12.63,0.0,1,Climate Specialist
MetLife Foundation,0,28,0,0,0.0,12.46,0.0,0,28,12.46,0.0,28,Gender-First Integrator
UNEP,0,0,1,0,0.0,0.0,12.04,0,1,12.04,0.0,1,Climate Specialist
Islamic Development Bank,0,13,0,0,0.0,11.77,0.0,0,13,11.77,0.0,13,Gender-First Integrator
Norwegian Postcode Lottery,0,0,4,0,0.0,0.0,11.25,0,4,11.25,0.0,4,Climate Specialist
IFAD,0,1,0,0,0.0,11.0,0.0,0,1,11.0,0.0,1,Gender-First Integrator
Estonia,2,242,18,0,0.23,9.84,0.9,0,262,10.97,0.0076,262,Gender-First Integrator
McKnight Foundation,24,1,73,0,2.64,0.12,8.15,0,98,10.91,0.2449,98,Climate Specialist
Liechtenstein,3,15,30,0,0.57,2.26,7.62,0,48,10.45,0.0625,48,Siloed Approach
International Centre for Genetic Engineering and Biotechnology,0,14,43,0,0.0,2.31,3.12,0,57,5.43,0.0,57,Climate Specialist
Arcadia Fund,0,1,1,0,0.0,3.5,1.89,0,2,5.39,0.0,2,Siloed Approach
WTO - International Trade Centre,0,30,0,0,0.0,4.81,0.0,0,30,4.81,0.0,30,Gender-First Integrator
African Development Fund,0,19,0,0,0.0,4.35,0.0,0,19,4.35,0.0,19,Gender-First Integrator
Kuwait,0,0,5,0,0.0,0.0,3.97,0,5,3.97,0.0,5,Climate Specialist
Gatsby Charitable Foundation,0,0,1,0,0.0,0.0,3.72,0,1,3.72,0.0,1,Climate Specialist
Latvia,2,71,11,0,0.05,2.72,0.25,0,84,3.02,0.0238,84,Gender-First Integrator
Michael & Susan Dell Foundation,0,15,0,0,0.0,2.73,0.0,0,15,2.73,0.0,15,Gender-First Integrator
United Nations Industrial Development Organization,0,57,0,0,0.0,2.56,0.0,0,57,2.56,0.0,57,Gender-First Integrator
German Postcode Lottery,3,8,8,0,0.33,1.04,1.0,0,19,2.37,0.1579,19,Siloed Approach
UNAIDS,0,33,0,0,0.0,0.55,0.0,0,33,0.55,0.0,33,Gender-First Integrator
UN Economic and Social Commission for Western Asia,0,0,10,0,0.0,0.0,0.36,0,10,0.36,0.0,10,Climate Specialist
Arab Bank for Economic Development in Africa,0,5,0,0,0.0,0.22,0.0,0,5,0.22,0.0,5,Gender-First Integrator
Jacobs Foundation,0,2,0,0,0.0,0.17,0.0,0,2,0.17,0.0,2,Gender-First Integrator
Carnegie Corporation of New York,0,1,0,0,0.0,0.1,0.0,0,1,0.1,0.0,1,Gender-First Integrator
United Nations Conference on Trade and Development,0,1,0,0,0.0,0.06,0.0,0,1,0.06,0.0,1,Gender-First Integrator
