donorName,integrated,genderOnly,climateOnly,neither,integratedFunding,genderOnlyFunding,climateOnlyFunding,neitherFunding,totalProjects,totalFunding,integratedShare
International Investment Bank,0,1,0,0,0.0,15.0,0.0,0,1,15.0,0.0
WFP,0,27,0,0,0.0,13.55,0.0,0,27,13.55,0.0
COVID-19 Response and Recovery Multi-Partner Trust Fund,0,77,0,0,0.0,13.45,0.0,0,77,13.45,0.0
World Health Organisation,0,0,1,0,0.0,0.0,12.63,0,1,12.63,0.0
MetLife Foundation,0,28,0,0,0.0,12.46,0.0,0,28,12.46,0.0
UNEP,0,0,1,0,0.0,0.0,12.04,0,1,12.04,0.0
Islamic Development Bank,0,13,0,0,0.0,11.77,0.0,0,13,11.77,0.0
Norwegian Postcode Lottery,0,0,4,0,0.0,0.0,11.25,0,4,11.25,0.0
IFAD,0,1,0,0,0.0,11.0,0.0,0,1,11.0,0.0
Estonia,2,242,18,0,0.23,9.84,0.9,0,262,10.97,0.0076
McKnight Foundation,24,1,73,0,2.64,0.12,8.15,0,98,10.91,0.2449
Liechtenstein,3,15,30,0,0.57,2.26,7.62,0,48,10.45,0.0625
International Centre for Genetic Engineering and Biotechnology,0,14,43,0,0.0,2.31,3.12,0,57,5.43,0.0
Arcadia Fund,0,1,1,0,0.0,3.5,1.89,0,2,5.39,0.0
WTO - International Trade Centre,0,30,0,0,0.0,4.81,0.0,0,30,4.81,0.0
African Development Fund,0,19,0,0,0.0,4.35,0.0,0,19,4.35,0.0
Kuwait,0,0,5,0,0.0,0.0,3.97,0,5,3.97,0.0
Gatsby Charitable Foundation,0,0,1,0,0.0,0.0,3.72,0,1,3.72,0.0
Latvia,2,71,11,0,0.05,2.72,0.25,0,84,3.02,0.0238
Michael & Susan Dell Foundation,0,15,0,0,0.0,2.73,0.0,0,15,2.73,0.0
United Nations Industrial Development Organization,0,57,0,0,0.0,2.56,0.0,0,57,2.56,0.0
German Postcode Lottery,3,8,8,0,0.33,1.04,1.0,0,19,2.37,0.1579
UNAIDS,0,33,0,0,0.0,0.55,0.0,0,33,0.55,0.0
UN Economic and Social Commission for Western Asia,0,0,10,0,0.0,0.0,0.36,0,10,0.36,0.0
Arab Bank for Economic Development in Africa,0,5,0,0,0.0,0.22,0.0,0,5,0.22,0.0
Jacobs Foundation,0,2,0,0,0.0,0.17,0.0,0,2,0.17,0.0
Carnegie Corporation of New York,0,1,0,0,0.0,0.1,0.0,0,1,0.1,0.0
United Nations Conference on Trade and Development,0,1,0,0,0.0,0.06,0.0,0,1,0.06,0.0
